Strain,Region,year,Dkl,Lowerbound,Upperbound
HK68,OtherEpibutB*,2007,0.535,0.533,0.538
HK68,A,2008,0.451,0.445,0.461
HK68,B,2008,0.433,0.425,0.443
HK68,C,2008,0.545,0.534,0.556
HK68,D,2008,0.398,0.393,0.405
HK68,E,2008,0.412,0.405,0.422
HK68,B*,2008,0.55,0.533,0.564
HK68,non-epitope,2008,0.025,0.025,0.026
HK68,OtherbutB*,2008,0.065,0.064,0.065
HK68,OtherEpibutB*,2008,0.428,0.425,0.433
HK68,A,2009,0.569,0.565,0.574
HK68,B,2009,0.549,0.547,0.551
HK68,C,2009,0.682,0.679,0.685
HK68,D,2009,0.516,0.513,0.518
HK68,E,2009,0.513,0.508,0.522
HK68,B*,2009,0.683,0.679,0.686
HK68,non-epitope,2009,0.031,0.031,0.032
HK68,OtherbutB*,2009,0.082,0.081,0.082
HK68,OtherEpibutB*,2009,0.542,0.541,0.545
HK68,A,2010,0.562,0.558,0.567
HK68,B,2010,0.555,0.553,0.557
HK68,C,2010,0.618,0.614,0.622
HK68,D,2010,0.517,0.516,0.518
HK68,E,2010,0.51,0.504,0.517
HK68,B*,2010,0.688,0.685,0.69
HK68,non-epitope,2010,0.033,0.033,0.033
HK68,OtherbutB*,2010,0.082,0.082,0.083
HK68,OtherEpibutB*,2010,0.532,0.531,0.534
HK68,A,2011,0.536,0.533,0.54
HK68,B,2011,0.55,0.549,0.552
HK68,C,2011,0.618,0.614,0.621
HK68,D,2011,0.517,0.516,0.519
HK68,E,2011,0.51,0.505,0.517
HK68,B*,2011,0.684,0.681,0.686
HK68,non-epitope,2011,0.034,0.034,0.035
HK68,OtherbutB*,2011,0.082,0.082,0.083
HK68,OtherEpibutB*,2011,0.526,0.524,0.528
HK68,A,2012,0.516,0.514,0.521
HK68,B,2012,0.549,0.547,0.55
HK68,C,2012,0.626,0.624,0.629
HK68,D,2012,0.513,0.512,0.515
HK68,E,2012,0.514,0.51,0.521
HK68,B*,2012,0.678,0.676,0.68
HK68,non-epitope,2012,0.035,0.034,0.035
HK68,OtherbutB*,2012,0.083,0.082,0.083
HK68,OtherEpibutB*,2012,0.523,0.521,0.525
HK68,A,2013,0.481,0.479,0.484
HK68,B,2013,0.544,0.542,0.545
HK68,C,2013,0.664,0.662,0.667
HK68,D,2013,0.516,0.515,0.517
HK68,E,2013,0.516,0.511,0.523
HK68,B*,2013,0.682,0.68,0.685
HK68,non-epitope,2013,0.039,0.039,0.039
HK68,OtherbutB*,2013,0.086,0.086,0.086
HK68,OtherEpibutB*,2013,0.52,0.518,0.522
HK68,A,2014,0.474,0.47,0.478
HK68,B,2014,0.503,0.502,0.504
HK68,C,2014,0.677,0.675,0.679
HK68,D,2014,0.516,0.515,0.518
HK68,E,2014,0.515,0.51,0.523
HK68,B*,2014,0.641,0.639,0.644
HK68,non-epitope,2014,0.041,0.041,0.042
HK68,OtherbutB*,2014,0.087,0.087,0.088
HK68,OtherEpibutB*,2014,0.513,0.511,0.515
HK68,A,2015,0.494,0.489,0.499
HK68,B,2015,0.509,0.507,0.51
HK68,C,2015,0.679,0.678,0.68
HK68,D,2015,0.519,0.518,0.52
HK68,E,2015,0.518,0.513,0.525
HK68,B*,2015,0.658,0.656,0.66
HK68,non-epitope,2015,0.043,0.042,0.043
HK68,OtherbutB*,2015,0.089,0.089,0.09
HK68,OtherEpibutB*,2015,0.519,0.517,0.52
HK68,A,2016,0.491,0.486,0.496
HK68,B,2016,0.51,0.508,0.51
HK68,C,2016,0.679,0.678,0.68
HK68,D,2016,0.517,0.516,0.518
HK68,E,2016,0.519,0.513,0.526
HK68,B*,2016,0.648,0.646,0.65
HK68,non-epitope,2016,0.044,0.043,0.044
HK68,OtherbutB*,2016,0.09,0.09,0.091
HK68,OtherEpibutB*,2016,0.519,0.517,0.521
HK68,A,2017,0.495,0.491,0.5
HK68,B,2017,0.505,0.504,0.506
HK68,C,2017,0.671,0.67,0.672
HK68,D,2017,0.518,0.517,0.519
HK68,E,2017,0.522,0.516,0.529
HK68,B*,2017,0.661,0.66,0.663
HK68,non-epitope,2017,0.045,0.044,0.045
HK68,OtherbutB*,2017,0.091,0.091,0.091
HK68,OtherEpibutB*,2017,0.517,0.515,0.519
HK68,A,2018,0.5,0.494,0.504
HK68,B,2018,0.502,0.501,0.503
HK68,C,2018,0.672,0.671,0.674
HK68,D,2018,0.518,0.517,0.52
HK68,E,2018,0.53,0.525,0.537
HK68,B*,2018,0.641,0.638,0.643
HK68,non-epitope,2018,0.044,0.044,0.045
HK68,OtherbutB*,2018,0.091,0.091,0.092
HK68,OtherEpibutB*,2018,0.521,0.52,0.523
Bk79,A,1968,0.349,0.34,0.362
Bk79,B,1968,0.224,0.217,0.238
Bk79,C,1968,0.363,0.346,0.386
Bk79,D,1968,0.213,0.191,0.253
Bk79,E,1968,0.258,0.253,0.263
Bk79,B*,1968,0.241,0.231,0.284
Bk79,non-epitope,1968,0.014,0.013,0.015
Bk79,OtherbutB*,1968,0.039,0.038,0.041
Bk79,OtherEpibutB*,1968,0.275,0.267,0.284
Bk79,A,1969,0.352,0.346,0.364
Bk79,B,1969,0.224,0.217,0.238
Bk79,C,1969,0.363,0.346,0.386
Bk79,D,1969,0.213,0.192,0.249
Bk79,E,1969,0.247,0.23,0.277
Bk79,B*,1969,0.241,0.231,0.284
Bk79,non-epitope,1969,0.012,0.011,0.014
Bk79,OtherbutB*,1969,0.038,0.037,0.04
Bk79,OtherEpibutB*,1969,0.273,0.265,0.284
Bk79,A,1970,0.352,0.346,0.364
Bk79,B,1970,0.224,0.217,0.238
Bk79,C,1970,0.363,0.346,0.386
Bk79,D,1970,0.211,0.189,0.249
Bk79,E,1970,0.267,0.267,0.267
Bk79,B*,1970,0.241,0.231,0.284
Bk79,non-epitope,1970,0.012,0.012,0.014
Bk79,OtherbutB*,1970,0.038,0.037,0.04
Bk79,OtherEpibutB*,1970,0.277,0.269,0.286
Bk79,A,1971,0.335,0.317,0.364
Bk79,B,1971,0.173,0.156,0.206
Bk79,C,1971,0.338,0.31,0.386
Bk79,D,1971,0.2,0.185,0.233
Bk79,E,1971,0.221,0.213,0.23
Bk79,B*,1971,0.158,0.121,0.228
Bk79,non-epitope,1971,0.012,0.011,0.013
Bk79,OtherbutB*,1971,0.035,0.034,0.038
Bk79,OtherEpibutB*,1971,0.251,0.246,0.265
Bk79,A,1972,0.26,0.247,0.278
Bk79,B,1972,0.14,0.128,0.161
Bk79,C,1972,0.286,0.266,0.313
Bk79,D,1972,0.161,0.141,0.204
Bk79,E,1972,0.217,0.213,0.225
Bk79,B*,1972,0.214,0.187,0.271
Bk79,non-epitope,1972,0.01,0.009,0.011
Bk79,OtherbutB*,1972,0.029,0.028,0.031
Bk79,OtherEpibutB*,1972,0.202,0.195,0.213
Bk79,A,1973,0.223,0.203,0.249
Bk79,B,1973,0.122,0.109,0.145
Bk79,C,1973,0.276,0.26,0.3
Bk79,D,1973,0.168,0.144,0.211
Bk79,E,1973,0.187,0.174,0.213
Bk79,B*,1973,0.185,0.146,0.237
Bk79,non-epitope,1973,0.009,0.008,0.01
Bk79,OtherbutB*,1973,0.026,0.025,0.028
Bk79,OtherEpibutB*,1973,0.185,0.178,0.198
Bk79,A,1974,0.182,0.173,0.198
Bk79,B,1974,0.103,0.093,0.123
Bk79,C,1974,0.252,0.224,0.3
Bk79,D,1974,0.143,0.114,0.203
Bk79,E,1974,0.121,0.112,0.14
