ID,InputCount,Rep1Count,Rep2Count,Rep1Fitness,Rep2Fitness,Fitness,Rep1_Preference,Rep2_Preference,Preference,strain,selected,v,f
ENFESA,731.0,3.0,3.0,0.00323291994241,0.00342868863397,0.00333080428819,0.00386672337662,0.00403481715815,0.0039514526551,Bris07P194,6.0,1.0425226616940497,-4.649870364905998
ENFESV,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.899803158016824,-6.499787040655854
ENSDFA,490.0,4.0,16.0,0.00643065164055,0.0272802328319,0.0168554422362,0.00769135996819,0.0321028717563,0.019996215993,Bris07P194,20.0,0.9479551061151757,-3.151921690071098
ENSDFV,415.0,0.0,1.0,0.0,0.002013149712,0.001006574856,0.0,0.00236903722299,0.00119413587325,Bris07P194,1.0,1.400703244772174,-5.337538079701318
ENSDNA,522.0,1.0,7.0,0.00150910886201,0.0112034481099,0.00635627848593,0.0018049647435,0.0131840098329,0.00754068126694,Bris07P194,8.0,1.0113225556185401,-4.062356886728703
ENSDNV,471.0,0.0,4.0,0.0,0.0070951773289,0.00354758866445,0.0,0.00834947301518,0.0042086317401,Bris07P194,4.0,1.1004180426861243,-4.547541073151455
ENSDSA,458.0,2.0,1.0,0.00343997740597,0.00182414220628,0.00263205980613,0.00411437378211,0.00214661669768,0.00312250700115,Bris07P194,3.0,1.1504780478558005,-4.7427558489406545
ENSDSV,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.9011729618367186,-5.8522024797744745
ENSEFA,508.0,1.0,2.0,0.00155069847631,0.00328920130109,0.0024199498887,0.00185470786634,0.00387067105329,0.0028708733944,Bris07P194,3.0,1.1502640351605673,-4.846153655430633
ENSEFV,491.0,0.0,5.0,0.0,0.00850771008633,0.00425385504317,0.0,0.0100117153517,0.00504650089,Bris07P194,5.0,1.0669985856101976,-4.406719247264253
ENSENA,496.0,7.0,0.0,0.0111175076245,0.0,0.00555875381227,0.0132970588159,0.0,0.0065945491269,Bris07P194,7.0,1.0253114710529354,-4.129148484416793
ENSENV,520.0,0.0,3.0,0.0,0.00481994498353,0.00240997249176,0.0,0.00567202181272,0.00285903685037,Bris07P194,3.0,1.1502187844148728,-4.869455680633476
ENSESA,490.0,3.0,2.0,0.00482298873041,0.00341002910399,0.0041165089172,0.00576851997614,0.00401285896954,0.00488356225201,Bris07P194,5.0,1.0670027251627947,-4.404684658566466
ENSESV,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.9005465896295637,-6.09807428216624
ENYDFA,541.0,4.0,18.0,0.00582443494246,0.0277970949142,0.0168107649283,0.00696629645918,0.0327111054633,0.0199432136994,Bris07P194,22.0,0.9436226779380774,-3.1597717855104963
ENYDFV,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.900409103259678,-6.161207321695077
ENYDNA,572.0,2.0,1.0,0.00275438750338,0.00146058938895,0.00210748844617,0.00329437621015,0.0017187944887,0.00250018917225,Bris07P194,3.0,1.150044599316408,-4.964591355594849
ENYDNV,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.9000058832599658,-6.373319789577012
ENYDSA,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.9000029761311046,-6.375024819828097
ENYDSV,481.0,3.0,0.0,0.00491323176279,0.0,0.0024566158814,0.00587645486135,0.0,0.00291437157732,Bris07P194,3.0,1.1503740874150084,-4.791649752930709
ENYEFA,629.0,4.0,0.0,0.00500956964049,0.0,0.00250478482025,0.00599167946648,0.0,0.00297151611805,Bris07P194,4.0,1.0998867002056294,-4.836281906951478
ENYEFV,601.0,0.0,13.0,0.0,0.0180714520736,0.00903572603678,0.0,0.0212661494476,0.0107194060502,Bris07P194,13.0,0.9713890996150055,-3.7612001156935624
ENYENA,653.0,2.0,2.0,0.00241272534753,0.00255882735215,0.00248577634984,0.00288573230048,0.00301118054376,0.00294896568747,Bris07P194,4.0,1.0998284506060954,-4.873669439023098
ENYENV,620.0,2.0,7.0,0.0025411445999,0.0094325805054,0.00598686255265,0.00303932772937,0.011100085698,0.00710242988857,Bris07P194,9.0,0.9999097045764598,-4.128745988939433
ENYESA,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.8998402306676345,-6.47543271670409
ENYESV,532.0,0.0,4.0,0.0,0.00628163255998,0.00314081627999,0.0,0.0073921086281,0.00372606306313,Bris07P194,4.0,1.1001755712262078,-4.669083511731744
HEFDFA,504.0,19.0,11.0,0.0296971065345,0.0182341834033,0.0239656449689,0.0355191276309,0.0214576486566,0.028431304649,Bris07P194,30.0,0.9325376611542587,-2.7905712247902135
HEFDFV,490.0,1.0,0.0,0.00160766291014,0.0,0.000803831455069,0.00192283999205,0.0,0.00095361410115,Bris07P194,1.0,1.4003360584961282,-5.503296947234575
