Background	Year	MeanPref	StdPref
Mos99	2013	-0.0142541484249	0.00222972910223
Mos99	2014	0.105143631806	0.00416762273353
Mos99	2015	0.056064977396	0.00254050719613
Mos99	2016	0.144393485108	0.00417913811498
Mos99	2017	0.088123762108	0.00271981248354
Mos99	2018	0.169494396632	0.0061516105908
NDako16	1968	-0.324892465323	5.5790806156e-18
NDako16	1969	-0.324892465323	2.26623325918e-17
NDako16	1970	-0.324892465323	0.0
NDako16	1971	-0.285180372939	0.01500976007
NDako16	1972	-0.324892465323	0.0
NDako16	1973	-0.291695384412	0.0165985404557
NDako16	1974	-0.225301222589	9.81307786677e-18
NDako16	1975	-0.225301222589	0.0
NDako16	1976	-0.301658220716	0.0
NDako16	1977	-0.304562501292	0.00290428057587
NDako16	1978	-0.338816199116	0.0371579784005
NDako16	1979	-0.524606091119	0.0
NDako16	1980	-0.496737607319	0.0278684838004
NDako16	1981	-0.524606091119	0.0
NDako16	1982	-0.450290134318	0.0470015379972
NDako16	1983	-0.487448112718	0.0371579784005
NDako16	1984	-0.524606091119	0.0
NDako16	1985	-0.591635015614	0.0795596491839
NDako16	1986	-0.811871251108	0.0908412197979
NDako16	1987	-0.889112553159	0.0880868074278
NDako16	1988	-0.939969495139	0.0433709458476
NDako16	1989	-0.961382944394	0.0316709185559
NDako16	1990	-0.855116820092	0.185932323468
NDako16	1991	-0.80072420919	0.238844115793
NDako16	1992	0.130893717938	0.255323378995
NDako16	1993	0.632338879768	1.1971842762e-17
NDako16	1994	0.636981037129	0.0128961584035
NDako16	1995	0.611617138472	0.0300409511202
NDako16	1996	0.571007841755	0.020745091751
NDako16	1997	0.410001811964	0.0349948452072
NDako16	1998	0.215859787842	0.0135194834238
NDako16	1999	0.188553135794	0.00692450619167
NDako16	2000	0.194716707239	0.00922906765818
NDako16	2001	0.195477641985	0.0138490123833
NDako16	2002	0.182418064058	0.00113297004499
NDako16	2003	0.2034005778	0.00587233224997
NDako16	2004	0.487119229931	0.00863882078902
NDako16	2005	0.122161192913	0.0251870000252
NDako16	2006	-0.352325932835	0.0178105824395
NDako16	2007	-0.406755031616	0.00355019715776
NDako16	2008	-0.406242149233	0.00121427343116
NDako16	2009	0.311171789652	0.0151886065243
NDako16	2010	0.63565768615	0.0021669556979
NDako16	2011	0.640099360218	0.00149041712275
NDako16	2012	0.640817666658	0.00130765911299
NDako16	2013	0.64805755486	0.00312942762058
NDako16	2014	0.710331612268	0.00957103020306
NDako16	2015	0.42976304346	0.00631672286068
NDako16	2016	0.579492054244	0.00936671522866
NDako16	2017	0.369153075798	0.00412178803667
NDako16	2018	0.48985342042	0.00940153107825
Bei89	1968	-0.515650734306	0.0
Bei89	1969	-0.515650734306	0.0
Bei89	1970	-0.515650734306	0.0
Bei89	1971	0.114635095833	0.238225651633
Bei89	1972	-0.515650734306	0.0
Bei89	1973	-0.577697619627	0.0310234426607
